episode_id,commanded_vx,direction,outcome,survival_time_s
0,0.2,backward,timeout,10.0
1,0.2,backward,timeout,10.0
2,0.2,backward,timeout,10.0
3,0.2,backward,timeout,10.0
4,0.2,backward,timeout,10.0
5,0.4,backward,timeout,10.0
6,0.4,backward,timeout,10.0
7,0.4,backward,timeout,10.0
8,0.4,backward,timeout,10.0
9,0.4,backward,timeout,10.0
10,0.6,backward,fall,7.016
11,0.6,backward,fall,0.9
12,0.6,backward,timeout,10.0
13,0.6,backward,fall,7.142
14,0.6,backward,fall,8.448
15,0.8,backward,fall,8.594
16,0.8,backward,fall,1.214
17,0.8,backward,timeout,10.0
18,0.8,backward,fall,2.0
19,0.8,backward,timeout,10.0
20,1.0,backward,fall,3.084
21,1.0,backward,timeout,10.0
22,1.0,backward,fall,3.224
23,1.0,backward,fall,9.976
24,1.0,backward,fall,6.322
25,1.2,backward,timeout,10.0
26,1.2,backward,fall,2.428
27,1.2,backward,timeout,10.0
28,1.2,backward,fall,2.102
29,1.2,backward,fall,2.492
30,1.4,backward,fall,8.922
31,1.4,backward,fall,2.388
32,1.4,backward,fall,1.536
33,1.4,backward,fall,2.454
34,1.4,backward,fall,4.152
35,1.6,backward,fall,2.514
36,1.6,backward,timeout,10.0
37,1.6,backward,fall,4.544
38,1.6,backward,fall,0.966
39,1.6,backward,fall,2.05
40,1.8,backward,fall,7.926
41,1.8,backward,fall,4.086
42,1.8,backward,fall,1.304
43,1.8,backward,fall,1.464
44,1.8,backward,fall,8.948
45,2.0,backward,fall,6.016
46,2.0,backward,fall,0.948
47,2.0,backward,fall,1.42
48,2.0,backward,fall,6.728
49,2.0,backward,fall,0.664
50,2.2,backward,timeout,10.0
51,2.2,backward,fall,6.744
52,2.2,backward,fall,2.124
53,2.2,backward,fall,3.268
54,2.2,backward,timeout,10.0
55,2.4,backward,fall,5.404
56,2.4,backward,fall,0.87
57,2.4,backward,fall,5.004
58,2.4,backward,fall,0.832
59,2.4,backward,fall,1.312
60,2.6,backward,fall,4.356
61,2.6,backward,fall,3.302
62,2.6,backward,fall,5.62
63,2.6,backward,fall,5.092
64,2.6,backward,timeout,10.0
65,2.8,backward,fall,2.564
66,2.8,backward,fall,1.128
67,2.8,backward,fall,0.56
68,2.8,backward,fall,3.938
69,2.8,backward,fall,2.012
70,3.0,backward,fall,0.734
71,3.0,backward,fall,0.834
72,3.0,backward,fall,1.384
73,3.0,backward,fall,2.7
74,3.0,backward,fall,6.792
